{{origin_name}} | {{unit_active}} | {{unit_count}} | {{emblem}} | {{desc}}
Astro           | 3               | 4              |            |         
Battlecast      | 2/4/6/8         | 6              |            |         
Celestial       | 2/4/6           | 5              |            |         
Chrono          | 2/4/6/8         | 8              |            |         
Cybernetic      | 3/6             | 7              |            |         
Dark Star       | 2/4/6/8         | 6              |            |         
Mech-Pilot      | 3               | 3              |            |         
Rebel           | 3/6/9           | 7              |            |         
Space Pirate    | 2/4             | 4              |            |         
Star Guardian   | 3/6/9           | 7              |            |         

{{class_name}} | {{unit_active}} | {{unit_count}} | {{emblem}} | {{desc}}
Blademaster    | 3/6/9           | 7              |            |         
Blaster        | 2/4             | 5              |            |         
Brawler        | 2/4             | 5              |            |         
Demolitionist  | 2               | 3              |            |         
Infiltrator    | 2/4/6           | 5              |            |         
Mana-Reaver    | 2               | 3              |            |         
Mystic         | 2/4             | 5              |            |         
Protector      | 2/4/6           | 5              |            |         
Sniper         | 2/4             | 5              |            |         
Sorcerer       | 2/4/6           | 7              |            |         
Vanguard       | 2/4/6           | 6              |            |         
