C1\C2   | sword     | bow         | vest          | cloak            | rod               | tear          | belt           | glove          | spatula          | pan               
sword   | LordsEdge | GiantSlayer | GuardianAngel | Bloodthirster    | HextechGunblade   | SpearofShojin | SteraksGage    | InfinityEdge   | SugarcraftEmblem | HunterEmblem      
bow     |           | RedBuffItem | TitansResolve | RunaansHurricane | GuinsoosRageblade | StatikkShiv   | NashorsTooth   | LastWhisper    | PyroEmblem       | MultistrikerEmblem
vest    |           |             | BrambleVest   | IronWill         | Crownguard        | Fimbulwinter  | SunfireCape    | SteadfastHeart | FrostEmblem      | BastionEmblem     
cloak   |           |             |               | DragonsClaw      | IonicSpark        | AdaptiveHelm  | Evenshroud     | Quicksilver    | WitchcraftEmblem | PreserverEmblem   
rod     |           |             |               |                  | RabadonsDeathcap  | LudensEcho    | Morellonomicon | ArcaneGauntlet | PortalEmblem     | MageEmblem        
tear    |           |             |               |                  |                   | BlueSentinel  | Redemption     | HandofJustice  | FaerieEmblem     | ScholarEmblem     
belt    |           |             |               |                  |                   |               | WarmogsArmor   | Guardbreaker   | EldritchEmblem   | ShapeshifterEmblem
glove   |           |             |               |                  |                   |               |                | ThiefsGloves   | HoneymancyEmblem | WarriorEmblem     
spatula |           |             |               |                  |                   |               |                |                |                  |                   
pan     |           |             |               |                  |                   |               |                |                |                  |                   
